U+3781	㞁	youbi
U+3782	㞂	youtuo
U+3783	㞃	guyou
U+3784	㞄	youyan
U+3785	㞅	youguo
U+3786	㞆	youqi
U+3787	㞇	youwei
U+3788	㞈	youbian
U+3789	㞉	youcha
U+378A	㞊	suiyou
U+378B	㞋	shiyou
U+378C	㞌	shizi
U+378D	㞍	shiwan
U+378E	㞎	shiba
U+378F	㞏	shifa
U+3790	㞐	shili
U+3791	㞑	shiyi
U+3792	㞒	shizi
U+3793	㞓	shizhi
U+3794	㞔	shiduo
U+3795	㞕	shiyue
U+3796	㞖	shici
U+3797	㞗	shiqiu
U+3798	㞘	shishi
U+3799	㞙	weishui
U+379A	㞚	shicha
U+379B	㞛	shizhi
U+379C	㞜	shiwei
U+379D	㞝	qishi
U+379E	㞞	shicong
U+379F	㞟	shidian
U+37A0	㞠	shiliao
U+37A1	㞡	shiyi
U+37A2	㞢	caoheng
U+37A3	㞣	caofen
U+37A4	㞤	shanren
U+37A5	㞥	shanru
U+37A6	㞦	shanji
U+37A7	㞧	shannai
U+37A8	㞨	shanzi
U+37A9	㞩	shanfan
U+37AA	㞪	jishan
U+37AB	㞫	shanzhi
U+37AC	㞬	shangong
U+37AD	㞭	dashan
U+37AE	㞮	shandian
U+37AF	㞯	jishan
U+37B0	㞰	shanwu
U+37B1	㞱	shanri
U+37B2	㞲	shanzhong
U+37B3	㞳	shandou
U+37B4	㞴	shanshi
U+37B5	㞵	shanwen
U+37B6	㞶	shanwen
U+37B7	㞷	caowang
U+37B8	㞸	shanbu
U+37B9	㞹	shanke
U+37BA	㞺	shanshi
U+37BB	㞻	shanhao
U+37BC	㞼	chengshan
U+37BD	㞽	shanyue
U+37BE	㞾	shanni
U+37BF	㞿	shancha
U+37C0	㟀	heshan
U+37C1	㟁	shangan
U+37C2	㟂	shanmu
U+37C3	㟃	shansi
U+37C4	㟄	shanyang
U+37C5	㟅	shanxiong
U+37C6	㟆	shanhua
U+37C7	㟇	shanzuo
U+37C8	㟈	shanqiu
U+37C9	㟉	shanlao
U+37CA	㟊	shanfu
U+37CB	㟋	shandui
U+37CC	㟌	shanlong
U+37CD	㟍	shanliang
U+37CE	㟎	shantuo
U+37CF	㟏	shanhan
U+37D0	㟐	shanmang
U+37D1	㟑	shanbo
U+37D2	㟒	shanjun
U+37D3	㟓	shanxi
U+37D4	㟔	shanhan
U+37D5	㟕	shandou
U+37D6	㟖	shannong
U+37D7	㟗	shanfen
U+37D8	㟘	shanzhou
U+37D9	㟙	shanxi
U+37DA	㟚	zhishan
U+37DB	㟛	caogan
U+37DC	㟜	shanmi
U+37DD	㟝	shanpou
U+37DE	㟞	shanjian
U+37DF	㟟	shanxiang
U+37E0	㟠	shangang
U+37E1	㟡	shanjuan
U+37E2	㟢	shanqi
U+37E3	㟣	shansong
U+37E4	㟤	shanlu
U+37E5	㟥	shancan
U+37E6	㟦	shanjun
U+37E7	㟧	shane
U+37E8	㟨	shanduan
U+37E9	㟩	minshan
U+37EA	㟪	shanwei
U+37EB	㟫	shanquan
U+37EC	㟬	shansou
