U+3035F	𰍟	gaigao
U+30360	𰍠	anqing
U+30361	𰍡	ningliu
U+30362	𰍢	rongrong
U+30363	𰍣	bizhai
U+30364	𰍤	likuan
U+30365	𰍥	suisi
U+30366	𰍦	xunmou
U+30367	𰍧	pieyi
U+30368	𰍨	yidian
U+30369	𰍩	xiaoren
U+3036A	𰍪	zhixiao
U+3036B	𰍫	xiaoyi
U+3036C	𰍬	yishao
U+3036D	𰍭	wusheng
U+3036E	𰍮	youan
U+3036F	𰍯	zaoyou
U+30370	𰍰	shiheng
U+30371	𰍱	shizhuan
U+30372	𰍲	shiliu
U+30373	𰍳	shihuo
U+30374	𰍴	niaoyi
U+30375	𰍵	zhichi
U+30376	𰍶	shixing
U+30377	𰍷	shinao
U+30378	𰍸	shiji
U+30379	𰍹	shiche
U+3037A	𰍺	weida
U+3037B	𰍻	niaotu
U+3037C	𰍼	niduo
U+3037D	𰍽	shibing
U+3037E	𰍾	shishan
U+3037F	𰍿	shicong
U+30380	𰎀	chishen
U+30381	𰎁	shimao
U+30382	𰎂	niaowei
U+30383	𰎃	wuduo
U+30384	𰎄	weilai
U+30385	𰎅	weichang
U+30386	𰎆	shiwei
U+30387	𰎇	shanwei
U+30388	𰎈	shange
U+30389	𰎉	shangong
U+3038A	𰎊	qieshan
U+3038B	𰎋	shanyue
U+3038C	𰎌	shancong
U+3038D	𰎍	shanyun
U+3038E	𰎎	shanlong
U+3038F	𰎏	shandong
U+30390	𰎐	shanlu
U+30391	𰎑	shanye
U+30392	𰎒	shanbai
U+30393	𰎓	shanyou
U+30394	𰎔	shanyao
U+30395	𰎕	dingba
U+30396	𰎖	shanze
U+30397	𰎗	shandao
U+30398	𰎘	shaner
U+30399	𰎙	shanji
U+3039A	𰎚	houshan
U+3039B	𰎛	shanhui
U+3039C	𰎜	shanjiao
U+3039D	𰎝	shanjun
U+3039E	𰎞	shannong
U+3039F	𰎟	shanjia
U+303A0	𰎠	shanyan
U+303A1	𰎡	shanda
