U+2A918	𪤘	simou
U+2A919	𪤙	tuhuo
U+2A91A	𪤚	tulian
U+2A91B	𪤛	tumao
U+2A91C	𪤜	fangtu
U+2A91D	𪤝	yangtu
U+2A91E	𪤞	tuchi
U+2A91F	𪤟	nantu
U+2A920	𪤠	tulei
U+2A921	𪤡	tuli
U+2A922	𪤢	tuzao
U+2A923	𪤣	tuyu
U+2A924	𪤤	tulu
U+2A925	𪤥	tuyi
U+2A926	𪤦	tushui
U+2A927	𪤧	tuyu
U+2A928	𪤨	tubi
U+2A929	𪤩	tuwen
U+2A92A	𪤪	tuqi
U+2A92B	𪤫	tuyou
U+2A92C	𪤬	leitu
U+2A92D	𪤭	tuchi
U+2A92E	𪤮	tuliao
U+2A92F	𪤯	tuyang
U+2A930	𪤰	tulin
U+2A931	𪤱	nianzhu
U+2A932	𪤲	shengge
U+2A933	𪤳	shicun
U+2A934	𪤴	yiyi
U+2A935	𪤵	wentun
U+2A936	𪤶	zhengling
U+2A937	𪤷	xijin
U+2A938	𪤸	waige
U+2A939	𪤹	ximi
U+2A93A	𪤺	xigai
U+2A93B	𪤻	duopi
U+2A93C	𪤼	xilang
U+2A93D	𪤽	lingduo
U+2A93E	𪤾	xichao
U+2A93F	𪤿	ximai
U+2A940	𪥀	linduo
U+2A941	𪥁	dayi
U+2A942	𪥂	dadao
U+2A943	𪥃	fuding
U+2A944	𪥄	muda
U+2A945	𪥅	dage
U+2A946	𪥆	dayou
U+2A947	𪥇	bingda
U+2A948	𪥈	daping
U+2A949	𪥉	tianba
U+2A94A	𪥊	weida
U+2A94B	𪥋	dawei
U+2A94C	𪥌	pieda
U+2A94D	𪥍	dadian
U+2A94E	𪥎	kuangda
U+2A94F	𪥏	daren
U+2A950	𪥐	chunshi
U+2A951	𪥑	nainai
U+2A952	𪥒	chuida
U+2A953	𪥓	datu
U+2A954	𪥔	kongda
U+2A955	𪥕	daqu
U+2A956	𪥖	rida
U+2A957	𪥗	qianda
U+2A958	𪥘	lida
U+2A959	𪥙	pietian
U+2A95A	𪥚	kuaxiong
U+2A95B	𪥛	lida
U+2A95C	𪥜	dacao
U+2A95D	𪥝	dongda
U+2A95E	𪥞	gaida
U+2A95F	𪥟	tuda
U+2A960	𪥠	beida
U+2A961	𪥡	duida
U+2A962	𪥢	huoda
U+2A963	𪥣	xihuang
U+2A964	𪥤	shangnv
U+2A965	𪥥	nvge
U+2A966	𪥦	nvhu
U+2A967	𪥧	nvzhi
U+2A968	𪥨	nvri
U+2A969	𪥩	nvpu
U+2A96A	𪥪	nvji
U+2A96B	𪥫	nvshuang
U+2A96C	𪥬	nvyun
U+2A96D	𪥭	nvding
U+2A96E	𪥮	nvjiu
U+2A96F	𪥯	genu
U+2A970	𪥰	nvning
U+2A971	𪥱	nvci
U+2A972	𪥲	nvba
U+2A973	𪥳	nvdiao
U+2A974	𪥴	zinv
U+2A975	𪥵	nvyu
